product_brand,product_name,product_price,product_stock,product_model,product_link
Makita,Sierra Sable 1010 W Makita JR3050T,117270,Disponible,<GET https://www.toolmania.cl/sierras-sable/makita-sierra-sable-1010-w-cod-jr3050t-122.html>,https://www.toolmania.cl/sierras-sable/makita-sierra-sable-1010-w-cod-jr3050t-122.html
Bosch Herramientas,Sierra Sable 1100W Bosch GSA 1100 E,155490,Agotado,<GET https://www.toolmania.cl/sierras-sable/bosch-sierra-sable-230-mm-1100w-2700-cpm-36-kg-cod-gsa-1100-e-1250.html>,https://www.toolmania.cl/sierras-sable/bosch-sierra-sable-230-mm-1100w-2700-cpm-36-kg-cod-gsa-1100-e-1250.html
Skil Herramientas,Sierra sable 1050W Skil F0124900JC,98490,Agotado,<GET https://www.toolmania.cl/sierras-sable/skil-sierra-sable-1050w-cod-4900-1444.html>,https://www.toolmania.cl/sierras-sable/skil-sierra-sable-1050w-cod-4900-1444.html
Makita,"Sierra Sable Mini 340 W - Vel Variable, Capacidad m치xima corte 25,4 mm Makita JR1000FT",312300,Disponible,<GET https://www.toolmania.cl/sierras-sable/makita-sierra-sable-mini-340-w-vel-variable-capacidad-maxima-corte-254-mm-cod-jr1000ft-1531.html>,https://www.toolmania.cl/sierras-sable/makita-sierra-sable-mini-340-w-vel-variable-capacidad-maxima-corte-254-mm-cod-jr1000ft-1531.html
Makita,"Sierra Sable 1510 W - Vel Variable, Capacidad m치xima corte 130 mm AVT Makita JR3070CT",260551,Disponible,<GET https://www.toolmania.cl/sierras-sable/makita-sierra-sable-1510-w-vel-variable-capacidad-maxima-corte-130-mm-avt-cod-jr3070ct-1532.html>,https://www.toolmania.cl/sierras-sable/makita-sierra-sable-1510-w-vel-variable-capacidad-maxima-corte-130-mm-avt-cod-jr3070ct-1532.html
Milwaukee,Sierra Sable 1100 W Milwaukee 6519-59,176440,Disponible,<GET https://www.toolmania.cl/sierras-sable/sierra-sable-1100-w-milwaukee-6519-59-6139.html>,https://www.toolmania.cl/sierras-sable/sierra-sable-1100-w-milwaukee-6519-59-6139.html
Bosch Herramientas,Kit Cyberday Sierra Sable 1100W GSA 1100 E + Set 5 Hojas de Sierra de Sable Bosch 0601.64C.8N0-000,170405,Agotado,<GET https://www.toolmania.cl/sierras-sable/kit-cyberday-sierra-sable-1100w-gsa-1100-e-hoja-de-sierra-de-sable-bosch-060164c8n0-000-6299.html>,https://www.toolmania.cl/sierras-sable/kit-cyberday-sierra-sable-1100w-gsa-1100-e-hoja-de-sierra-de-sable-bosch-060164c8n0-000-6299.html
Total Tools,Sierra Sable 750W Total Tools TS100802,62990,Disponible,<GET https://www.toolmania.cl/sierras-sable/sierra-sable-750w-total-tools-ts100802-8930.html>,https://www.toolmania.cl/sierras-sable/sierra-sable-750w-total-tools-ts100802-8930.html
product_brand,product_name,product_price,product_stock,product_model,product_link
Makita,Sierra Sable 1010 W Makita JR3050T,117270,Disponible,<GET https://www.toolmania.cl/sierras-sable/makita-sierra-sable-1010-w-cod-jr3050t-122.html>,https://www.toolmania.cl/sierras-sable/makita-sierra-sable-1010-w-cod-jr3050t-122.html
Bosch Herramientas,Sierra Sable 1100W Bosch GSA 1100 E,155490,Agotado,<GET https://www.toolmania.cl/sierras-sable/bosch-sierra-sable-230-mm-1100w-2700-cpm-36-kg-cod-gsa-1100-e-1250.html>,https://www.toolmania.cl/sierras-sable/bosch-sierra-sable-230-mm-1100w-2700-cpm-36-kg-cod-gsa-1100-e-1250.html
Skil Herramientas,Sierra sable 1050W Skil F0124900JC,98490,Agotado,<GET https://www.toolmania.cl/sierras-sable/skil-sierra-sable-1050w-cod-4900-1444.html>,https://www.toolmania.cl/sierras-sable/skil-sierra-sable-1050w-cod-4900-1444.html
Makita,"Sierra Sable Mini 340 W - Vel Variable, Capacidad m치xima corte 25,4 mm Makita JR1000FT",312300,Disponible,<GET https://www.toolmania.cl/sierras-sable/makita-sierra-sable-mini-340-w-vel-variable-capacidad-maxima-corte-254-mm-cod-jr1000ft-1531.html>,https://www.toolmania.cl/sierras-sable/makita-sierra-sable-mini-340-w-vel-variable-capacidad-maxima-corte-254-mm-cod-jr1000ft-1531.html
Makita,"Sierra Sable 1510 W - Vel Variable, Capacidad m치xima corte 130 mm AVT Makita JR3070CT",260551,Disponible,<GET https://www.toolmania.cl/sierras-sable/makita-sierra-sable-1510-w-vel-variable-capacidad-maxima-corte-130-mm-avt-cod-jr3070ct-1532.html>,https://www.toolmania.cl/sierras-sable/makita-sierra-sable-1510-w-vel-variable-capacidad-maxima-corte-130-mm-avt-cod-jr3070ct-1532.html
Milwaukee,Sierra Sable 1100 W Milwaukee 6519-59,176440,Disponible,<GET https://www.toolmania.cl/sierras-sable/sierra-sable-1100-w-milwaukee-6519-59-6139.html>,https://www.toolmania.cl/sierras-sable/sierra-sable-1100-w-milwaukee-6519-59-6139.html
Bosch Herramientas,Kit Cyberday Sierra Sable 1100W GSA 1100 E + Set 5 Hojas de Sierra de Sable Bosch 0601.64C.8N0-000,170405,Agotado,<GET https://www.toolmania.cl/sierras-sable/kit-cyberday-sierra-sable-1100w-gsa-1100-e-hoja-de-sierra-de-sable-bosch-060164c8n0-000-6299.html>,https://www.toolmania.cl/sierras-sable/kit-cyberday-sierra-sable-1100w-gsa-1100-e-hoja-de-sierra-de-sable-bosch-060164c8n0-000-6299.html
Total Tools,Sierra Sable 750W Total Tools TS100802,62990,Disponible,<GET https://www.toolmania.cl/sierras-sable/sierra-sable-750w-total-tools-ts100802-8930.html>,https://www.toolmania.cl/sierras-sable/sierra-sable-750w-total-tools-ts100802-8930.html
